"Termos","Freq","Documento","IES","Código"
"submit",1,6,1,5157
"suicid",1,6,1,5183
"suscept",1,6,1,5229
"territori",1,6,1,5335
"unnatur",2,6,1,5609
"verifi",2,6,1,5701
"victim",2,6,1,5723
"violent",3,6,1,5737
"access",3,7,1,30
"adequ",1,7,1,74
"advisor",1,7,1,96
"affect",1,7,1,100
"alreadi",1,7,1,180
"also",2,7,1,181
"among",2,7,1,208
"analysi",1,7,1,224
"arouca",1,7,1,333
"around",1,7,1,334
"assert",1,7,1,357
"auxiliari",1,7,1,428
"bai",1,7,1,449
"base",1,7,1,473
"basic",3,7,1,477
"belford",2,7,1,511
"besid",1,7,1,530
"bonito",1,7,1,620
"caxia",2,7,1,814
"cber",1,7,1,815
"celia",1,7,1,827
"censu",3,7,1,833
"ciência",1,7,1,917
"clara",1,7,1,937
"classif",1,7,1,943
"classifi",1,7,1,944
"cluster",1,7,1,970
"concentr",1,7,1,1079
"consequ",1,7,1,1120
"consid",2,7,1,1123
"cover",1,7,1,1223
"current",1,7,1,1284
"dasymetr",2,7,1,1329
"data",5,7,1,1330
"deficit",1,7,1,1372
"demograph",2,7,1,1396
"differ",1,7,1,1487
"direct",1,7,1,1504
"distinct",1,7,1,1552
"duqu",2,7,1,1623
"emploi",1,7,1,1725
"end",1,7,1,1737
"ensur",1,7,1,1752
"environ",1,7,1,1770
"environment",1,7,1,1771
"escola",1,7,1,1815
"estatística",1,7,1,1827
"estim",3,7,1,1830
"exclud",1,7,1,1887
"focu",1,7,1,2065
"gener",1,7,1,2200
"geoprocess",1,7,1,2221
"gonçalo",1,7,1,2274
"gonçalv",1,7,1,2276
"group",3,7,1,2326
"guanabara",1,7,1,2334
"guarante",1,7,1,2336
"health",1,7,1,2395
"highest",1,7,1,2449
"howev",2,7,1,2497
"human",1,7,1,2505
"ibg",1,7,1,2537
"identifi",2,7,1,2550
"iguaçu",2,7,1,2558
"imag",1,7,1,2564
"inequ",3,7,1,2639
"inter",1,7,1,2720
"intra",1,7,1,2751
"itaboraí",1,7,1,2798
"janeiro",3,7,1,2812
"joão",1,7,1,2822
"julia",1,7,1,2844
"keyword",1,7,1,2877
"lack",1,7,1,2921
"land",2,7,1,2931
"life",1,7,1,3023
"locat",2,7,1,3061
"magé",1,7,1,3133
"make",1,7,1,3147
"map",3,7,1,3176
"maria",1,7,1,3190
"mean",1,7,1,3245
"merced",1,7,1,3282
"meriti",1,7,1,3285
"mesquita",1,7,1,3292
"methodologi",1,7,1,3308
"metropolitan",3,7,1,3314
"municip",4,7,1,3488
"nacion",1,7,1,3502
"necessari",1,7,1,3538
"need",3,7,1,3540
"neighborhood",7,7,1,3548
"nilópoli",1,7,1,3593
"nova",2,7,1,3647
"object",1,7,1,3674
"obtain",1,7,1,3681
"order",1,7,1,3741
"perform",1,7,1,3936
"place",1,7,1,4004
"polici",1,7,1,4048
"popul",2,7,1,4071
"possibl",2,7,1,4093
"precari",1,7,1,4121
"present",4,7,1,4158
"preserv",1,7,1,4159
"prioriti",4,7,1,4185
"promot",2,7,1,4229
"proport",1,7,1,4238
"public",2,7,1,4273
"qualiti",1,7,1,4302
"recent",1,7,1,4399
"region",3,7,1,4441
"relev",1,7,1,4466
"resourc",1,7,1,4516
"right",2,7,1,4565
"rio",4,7,1,4570
"rmrj",4,7,1,4581
"roxo",2,7,1,4613
"sanit",8,7,1,4653
"sanitari",1,7,1,4654
"são",2,7,1,4659
"satellit",1,7,1,4672
"servic",3,7,1,4797
"seven",1,7,1,4803
"sewag",2,7,1,4808
"show",2,7,1,4834
"situat",1,7,1,4899
"state",1,7,1,5081
"strauch",1,7,1,5123
"studi",2,7,1,5142
"supervis",1,7,1,5206
"top",1,7,1,5436
"total",1,7,1,5446
"viii",1,7,1,5730
"water",3,7,1,5798
"worst",1,7,1,5879
"year",1,7,1,5901
"across",4,8,1,52
"addit",1,8,1,70
"algorithm",3,8,1,162
"appli",1,8,1,283
"assist",1,8,1,367
"assum",1,8,1,371
"assumpt",1,8,1,372
"bia",1,8,1,540
"can",1,8,1,737
"categori",3,8,1,804
"chang",1,8,1,861
"combin",1,8,1,1017
